Suburb,Distance,Lattitude,Longtitude,Price,,,
Albert Park,3.3,-37.8448,144.9453,1740000,,,
Albert Park,3.3,-37.8399,144.9577,2800000,,,
Albert Park,3.3,-37.8411,144.9497,985000,,,
Alphington,6.4,-37.7707,145.0318,2000000,,,
Alphington,6.4,-37.7854,145.0325,1110000,,,
Alphington,6.4,-37.7713,145.0279,1492000,,,
Alphington,6.4,-37.7717,145.031,1717500,,,
Alphington,6.4,-37.775,145.0268,2840000,,,
Alphington,6.4,-37.7791,145.0306,525500,,,
Alphington,6.4,-37.7804,145.0308,805000,,,
Alphington,6.4,-37.7773,145.0314,465000,,,
Alphington,6.4,-37.78,145.0341,2000000,,,
Alphington,6.4,-37.7755,145.0288,1540000,,,
Alphington,6.4,-37.7747,145.0264,820000,,,
Alphington,6.4,-37.7743,145.0316,1830000,,,
Alphington,6.4,-37.7723,145.0319,2100000,,,
Alphington,6.4,-37.7802,145.0243,865000,,,
Alphington,6.4,-37.7773,145.0314,390000,,,
Alphington,6.4,-37.7848,145.025,650000,,,
Alphington,6.4,-37.7805,145.0262,512000,,,
Alphington,6.4,-37.7792,145.029,1165000,,,
Alphington,6.4,-37.7844,145.0225,1900000,,,
Alphington,6.4,-37.7781,145.0284,1485000,,,
Alphington,6.4,-37.7719,145.0309,1950000,,,
Altona,13.8,-37.87,144.825,520000,,,
Altona,13.8,-37.8721,144.8105,1525000,,,
Altona,13.8,-37.8687,144.8197,720000,,,
Altona,13.8,-37.8693,144.8375,1120000,,,
Altona,13.8,-37.868,144.8154,780000,,,
Altona,13.8,-37.8681,144.819,1780000,,,
Altona,13.8,-37.8702,144.8143,630000,,,
Altona,13.8,-37.8693,144.8171,406000,,,
Altona,13.8,-37.8616,144.8116,660000,,,
Altona,13.8,-37.8594,144.817,683500,,,
Altona,13.8,-37.8696,144.827,580000,,,
Altona,13.8,-37.8697,144.8249,1335000,,,
Altona,13.8,-37.8734,144.8143,800000,,,
Altona,13.8,-37.8686,144.8182,510000,,,
Altona,13.8,-37.8733,144.8147,1070000,,,
Altona,13.8,-37.871,144.8185,425000,,,
Altona,13.8,-37.8646,144.827,605000,,,
Altona,13.8,-37.8579,144.8181,705000,,,
Altona,13.8,-37.8678,144.8384,391000,,,
Altona,13.8,-37.8659,144.831,440000,,,
Altona,13.8,-37.8658,144.8155,845000,,,
Altona,13.8,-37.8698,144.816,743000,,,
Altona,13.8,-37.868,144.8286,730000,,,
Altona,13.8,-37.8611,144.8114,635000,,,
Altona,13.8,-37.8676,144.8202,620000,,,
Altona,13.8,-37.8655,144.8299,447000,,,
Altona,13.8,-37.868,144.8287,730000,,,
Altona,13.8,-37.8608,144.8124,678000,,,
Altona,13.8,-37.8687,144.8268,580000,,,
Altona,13.8,-37.8674,144.8375,712000,,,
Altona,13.8,-37.86,144.8245,840000,,,
Altona,13.8,-37.8672,144.817,980000,,,
Altona,13.8,-37.8583,144.8172,605100,,,
Altona,13.8,-37.8699,144.8235,880000,,,
Altona,13.8,-37.8684,144.815,577000,,,
Altona,13.8,-37.8663,144.8387,1030000,,,
Altona,13.8,-37.8659,144.822,605000,,,
Altona,13.8,-37.8612,144.8247,753000,,,
Altona,13.8,-37.8653,144.8129,857000,,,
Altona,13.8,-37.8651,144.832,1500000,,,
Altona,13.8,-37.868,144.8285,730000,,,
Altona,13.8,-37.871,144.8075,900000,,,
Altona,13.8,-37.8631,144.8195,740000,,,
Altona,13.8,-37.8637,144.8365,931000,,,
Altona,13.8,-37.8646,144.8272,535600,,,
Altona North,11.1,-37.8388,144.8567,1085000,,,
Altona North,11.1,-37.8291,144.835,781000,,,
Altona North,11.1,-37.8449,144.85,750000,,,
Altona North,11.1,-37.8351,144.8529,421000,,,
Altona North,11.1,-37.8338,144.8562,1405000,,,
Altona North,11.1,-37.8284,144.8355,683000,,,
Altona North,11.1,-37.8267,144.8368,623000,,,
Altona North,11.1,-37.8379,144.8583,720000,,,
Altona North,11.1,-37.838,144.8555,588000,,,
Altona North,11.1,-37.8294,144.8378,710000,,,
Altona North,11.1,-37.8448,144.8529,875000,,,
Altona North,11.1,-37.8449,144.85,700000,,,
Altona North,11.1,-37.8397,144.8602,640000,,,
Altona North,11.1,-37.8451,144.8529,650000,,,
Altona North,11.1,-37.8337,144.8554,675000,,,
Altona North,11.1,-37.8258,144.8523,708000,,,
Altona North,11.1,-37.8345,144.8444,965000,,,
Altona North,11.1,-37.8254,144.8514,680000,,,
Altona North,11.1,-37.8327,144.8451,770000,,,
Altona North,11.1,-37.8269,144.8455,923000,,,
Altona North,11.1,-37.8391,144.8467,693000,,,
Altona North,11.1,-37.8262,144.8443,620000,,,
Altona North,11.1,-37.8277,144.8385,728500,,,
Altona North,11.1,-37.8382,144.8649,931000,,,
Altona North,11.1,-37.8423,144.8632,988000,,,
Altona North,11.1,-37.8444,144.8491,590000,,,
Altona North,11.1,-37.834,144.8553,610000,,,
Altona North,11.1,-37.8318,144.8388,815000,,,
Altona North,11.1,-37.833,144.8494,970000,,,
Altona North,11.1,-37.8262,144.8439,760000,,,
Altona North,11.1,-37.8393,144.8568,847500,,,
Altona North,11.1,-37.8375,144.8541,1200000,,,
Altona North,11.1,-37.8441,144.8505,700000,,,
Altona North,11.1,-37.8285,144.8351,625000,,,
Altona North,11.1,-37.8332,144.8649,292000,,,
Armadale,6.3,-37.8543,145.0262,599000,,,
Armadale,6.3,-37.8539,145.0284,550000,,,
Armadale,6.3,-37.8552,145.016,995000,,,
Armadale,6.3,-37.854,145.0135,1205000,,,
Armadale,6.3,-37.8614,145.0274,1939000,,,
Armadale,6.3,-37.853,145.0167,421500,,,
Armadale,6.3,-37.8592,145.0182,1870000,,,
Armadale,6.3,-37.8538,145.0127,678000,,,
Armadale,6.3,-37.8537,145.0267,1918000,,,
Armadale,6.3,-37.8619,145.0257,660000,,,
Armadale,6.3,-37.8574,145.0281,2050000,,,
Armadale,6.3,-37.8552,145.016,700000,,,
Armadale,6.3,-37.8555,145.0291,3625000,,,
Armadale,6.3,-37.858,145.0111,3000000,,,
Armadale,6.3,-37.8638,145.0229,1525000,,,
Armadale,6.3,-37.8543,145.0262,735000,,,
Armadale,6.3,-37.8528,145.0268,825000,,,
Armadale,6.3,-37.8566,145.0116,1586000,,,
Armadale,6.3,-37.8596,145.0198,645000,,,
Armadale,6.3,-37.8564,145.0228,1435000,,,
Armadale,6.3,-37.8619,145.0185,280000,,,
Armadale,6.3,-37.8605,145.0185,400000,,,
Armadale,6.3,-37.8537,145.0267,1780000,,,
Armadale,6.3,-37.8574,145.0174,592500,,,
Armadale,6.3,-37.8543,145.016,1210000,,,
Armadale,6.3,-37.8536,145.0173,2801000,,,
Armadale,6.3,-37.8614,145.0222,390000,,,
Armadale,6.3,-37.8545,145.0145,1800000,,,
Armadale,6.3,-37.8613,145.0264,2200000,,,
Armadale,6.3,-37.8537,145.0114,324000,,,
Armadale,6.3,-37.8602,145.013,5525000,,,
Armadale,6.3,-37.851,145.0161,1125000,,,
Armadale,6.3,-37.8511,145.0167,2250000,,,
Armadale,6.3,-37.8558,145.015,2360000,,,
Armadale,6.3,-37.8571,145.0224,1900000,,,
Armadale,6.3,-37.8531,145.0115,440000,,,
Armadale,6.3,-37.8646,145.0247,490000,,,
Armadale,6.3,-37.8521,145.019,2365000,,,
Armadale,6.3,-37.8542,145.0149,1300000,,,
Armadale,6.3,-37.8597,145.0104,732000,,,
Armadale,6.3,-37.8573,145.0186,704000,,,
Armadale,6.3,-37.8596,145.0198,620000,,,
Armadale,6.3,-37.8559,145.0158,1900000,,,
Armadale,6.3,-37.8575,145.0174,315000,,,
Armadale,6.3,-37.8509,145.0203,450000,,,
Armadale,6.3,-37.8573,145.0186,710000,,,
Armadale,6.3,-37.8604,145.0147,872000,,,
Armadale,6.3,-37.8593,145.0156,598000,,,
Armadale,6.3,-37.8554,145.0173,1285000,,,
Armadale,6.3,-37.8593,145.0275,3660000,,,
Armadale,6.3,-37.8618,145.0183,520000,,,
Armadale,6.3,-37.8574,145.016,3625000,,,
Armadale,6.3,-37.8582,145.0138,4200000,,,
Armadale,6.3,-37.8542,145.0135,1101000,,,
Armadale,6.3,-37.8557,145.0264,3512500,,,
Armadale,6.3,-37.8611,145.0195,2000000,,,
Armadale,6.3,-37.853,145.0264,869000,,,
Armadale,6.3,-37.8611,145.0271,2810000,,,
Armadale,6.3,-37.8573,145.0112,565000,,,
Armadale,6.3,-37.8549,145.0113,567000,,,
Armadale,6.3,-37.8568,145.0161,546000,,,
Armadale,6.3,-37.8503,145.0185,471500,,,
Ascot Vale,5.9,-37.7756,144.9165,455000,,,
Ascot Vale,5.9,-37.7777,144.9195,940000,,,
Ascot Vale,5.9,-37.7761,144.9201,467000,,,
Ascot Vale,5.9,-37.7777,144.9221,1380000,,,
Ascot Vale,5.9,-37.7736,144.9015,490000,,,
Ascot Vale,5.9,-37.7729,144.9179,1850000,,,
Ascot Vale,5.9,-37.7758,144.9089,1284000,,,
Ascot Vale,5.9,-37.775,144.9091,971000,,,
Ascot Vale,5.9,-37.7776,144.9142,710000,,,
Ascot Vale,5.9,-37.7721,144.9184,2425000,,,
Ascot Vale,5.9,-37.7745,144.9093,750000,,,
Ascot Vale,5.9,-37.7748,144.929,1053000,,,
Ascot Vale,5.9,-37.7756,144.9208,1377000,,,
Ascot Vale,5.9,-37.7759,144.91,970000,,,
Ascot Vale,5.9,-37.773,144.9049,940000,,,
Ascot Vale,5.9,-37.7807,144.9288,751000,,,
Ascot Vale,5.9,-37.7731,144.9206,950000,,,
Ascot Vale,5.9,-37.7718,144.9066,685000,,,
Ascot Vale,5.9,-37.7819,144.9064,1230000,,,
Ascot Vale,5.9,-37.7738,144.9345,636500,,,
Ascot Vale,5.9,-37.7746,144.9112,910000,,,
Ascot Vale,5.9,-37.7774,144.9186,770000,,,
Ascot Vale,5.9,-37.7778,144.9065,960000,,,
Ascot Vale,5.9,-37.7766,144.9143,890000,,,
Ascot Vale,5.9,-37.7732,144.9206,965000,,,
Ascot Vale,5.9,-37.7725,144.9146,1440000,,,
Ascot Vale,5.9,-37.7825,144.9208,955000,,,
Ascot Vale,5.9,-37.7731,144.9074,450000,,,
Ascot Vale,5.9,-37.781,144.9207,801000,,,
Ascot Vale,5.9,-37.7746,144.9031,1000000,,,
Ascot Vale,5.9,-37.7737,144.904,1435000,,,
Ascot Vale,5.9,-37.7723,144.9094,390000,,,
Ascot Vale,5.9,-37.7821,144.9055,1425000,,,
Ascot Vale,5.9,-37.775,144.932,1340000,,,
Ascot Vale,5.9,-37.7753,144.9116,955000,,,
Ascot Vale,5.9,-37.7791,144.9136,1100000,,,
Ascot Vale,5.9,-37.7759,144.9338,1255000,,,
Ascot Vale,5.9,-37.773,144.9303,432000,,,
Ascot Vale,5.9,-37.782,144.903,1640000,,,
Ascot Vale,5.9,-37.78,144.9295,1430000,,,
Ascot Vale,5.9,-37.7791,144.914,610000,,,
Ascot Vale,5.9,-37.7727,144.9136,940000,,,
Ascot Vale,5.9,-37.7765,144.9114,890000,,,
Ascot Vale,5.9,-37.7742,144.906,1180000,,,
Ascot Vale,5.9,-37.7757,144.9088,1480000,,,
Ascot Vale,5.9,-37.7734,144.9191,1150000,,,
Ascot Vale,5.9,-37.7828,144.9049,1350000,,,
Ascot Vale,5.9,-37.7778,144.9261,1905000,,,
Ascot Vale,5.9,-37.7713,144.9038,865000,,,
Ascot Vale,5.9,-37.7712,144.9088,705000,,,
Ascot Vale,5.9,-37.7733,144.9219,442000,,,
Ascot Vale,5.9,-37.7786,144.9141,540000,,,
Ascot Vale,5.9,-37.7779,144.9133,1037500,,,
Ascot Vale,5.9,-37.7744,144.9035,1050000,,,
Ascot Vale,5.9,-37.7749,144.9137,440000,,,
Ascot Vale,5.9,-37.7722,144.9117,1010000,,,
Ascot Vale,5.9,-37.7766,144.9187,1430000,,,
Ascot Vale,5.9,-37.7779,144.9137,570000,,,
Ascot Vale,5.9,-37.7728,144.9169,690000,,,
Ascot Vale,5.9,-37.7766,144.9185,1291000,,,
Ascot Vale,5.9,-37.7774,144.928,1130000,,,
Ascot Vale,5.9,-37.777,144.9176,1135000,,,
Ascot Vale,5.9,-37.7778,144.9131,950000,,,
Ascot Vale,5.9,-37.7722,144.9163,790000,,,
Ascot Vale,5.9,-37.7731,144.9074,390000,,,
Ascot Vale,5.9,-37.7769,144.9138,1345000,,,
Ascot Vale,5.9,-37.7727,144.9055,1381500,,,
Ascot Vale,5.9,-37.7778,144.9061,940000,,,
Ascot Vale,5.9,-37.7778,144.9042,995000,,,
Ascot Vale,5.9,-37.7728,144.9076,1050000,,,
Ascot Vale,5.9,-37.7816,144.9217,786000,,,
Ascot Vale,5.9,-37.7825,144.9206,705000,,,
Ascot Vale,5.9,-37.7807,144.9285,760000,,,
Ascot Vale,5.9,-37.7723,144.9094,487500,,,
Ascot Vale,5.9,-37.7766,144.9277,1000000,,,
Ascot Vale,5.9,-37.7775,144.913,1110000,,,
Ascot Vale,5.9,-37.7765,144.9132,1300000,,,
Ascot Vale,5.9,-37.7767,144.9125,1060000,,,
Ascot Vale,5.9,-37.7767,144.9124,1410000,,,
Ascot Vale,5.9,-37.7768,144.9223,1305000,,,
Ascot Vale,5.9,-37.7738,144.9215,932500,,,
Ascot Vale,5.9,-37.7792,144.9297,965000,,,
Ascot Vale,5.9,-37.7762,144.9174,1215000,,,
Ascot Vale,5.9,-37.7772,144.9118,545000,,,
Ascot Vale,5.9,-37.7774,144.9104,1705000,,,
Ascot Vale,5.9,-37.7756,144.921,970000,,,
Ascot Vale,5.9,-37.7756,144.9105,925000,,,
Ashburton,11,-37.8669,145.0767,2650000,,,
Ashburton,11,-37.8673,145.0688,1670000,,,
Ashburton,11,-37.8655,145.0807,955000,,,
Ashburton,11,-37.874,145.0714,2050000,,,
Ashburton,11,-37.8636,145.0794,500000,,,
Ashburton,11,-37.869,145.0822,1575000,,,
Ashburton,11,-37.8666,145.0676,1555000,,,
Ashburton,11,-37.8699,145.0778,1100000,,,
Ashburton,11,-37.8685,145.0786,1337000,,,
Ashburton,11,-37.8729,145.0788,2950000,,,
Ashburton,11,-37.8612,145.0858,2215000,,,
Ashburton,11,-37.8675,145.0668,1518000,,,
Ashburton,11,-37.8695,145.084,1710000,,,
Ashburton,11,-37.8599,145.0815,1655000,,,
Ashburton,11,-37.86,145.0817,1550000,,,
Ashburton,11,-37.8742,145.07,1662000,,,
Ashburton,11,-37.8737,145.0695,1665000,,,
Ashburton,11,-37.8745,145.0738,1445000,,,
Ashburton,11,-37.8598,145.0796,3510000,,,
Ashburton,11,-37.8709,145.0857,968000,,,
Ashburton,11,-37.8655,145.0808,900000,,,
Ashburton,11,-37.8605,145.0833,1500000,,,
Ashburton,11,-37.8714,145.073,2752000,,,
Ashburton,11,-37.8653,145.0897,1500000,,,
Ashburton,11,-37.8669,145.077,1800000,,,
Ashburton,11,-37.8619,145.0879,1830000,,,
Ashburton,11,-37.8703,145.0774,1415000,,,
Ashburton,11,-37.872,145.0692,1440000,,,
Ashburton,11,-37.8693,145.08,1250000,,,
Ashburton,11,-37.8679,145.0781,1422000,,,
Ashburton,11,-37.8724,145.0758,1600000,,,
Ashburton,11,-37.8711,145.0746,1860000,,,
Ashburton,11,-37.8624,145.0798,1710000,,,
Ashburton,11,-37.8664,145.0772,1790000,,,
Ashburton,11,-37.8715,145.0688,1950000,,,
Ashburton,11,-37.8645,145.0797,1600000,,,
Ashburton,11,-37.8752,145.0754,1320000,,,
Ashburton,11,-37.8636,145.0903,1650000,,,
Ashwood,12.2,-37.8693,145.1082,995000,,,
Ashwood,12.2,-37.867,145.1092,1250000,,,
Ashwood,12.2,-37.8639,145.0968,1045000,,,
Ashwood,12.2,-37.8716,145.0999,1200000,,,
Ashwood,12.2,-37.8694,145.0944,1075000,,,
Ashwood,12.2,-37.8647,145.1023,1500000,,,
Ashwood,12.2,-37.8642,145.1109,1120000,,,
Ashwood,12.2,-37.8662,145.109,700000,,,
Ashwood,12.2,-37.8675,145.106,761000,,,
Ashwood,12.2,-37.8651,145.1109,1270000,,,
Ashwood,12.2,-37.8661,145.1013,1510000,,,
Ashwood,12.2,-37.864,145.0972,1365000,,,
Ashwood,12.2,-37.8621,145.1126,1100000,,,
Ashwood,12.2,-37.8651,145.1107,1415000,,,
Ashwood,12.2,-37.8711,145.1017,690000,,,
Ashwood,12.2,-37.8621,145.1021,1631000,,,
Ashwood,12.2,-37.8655,145.096,1500000,,,
Ashwood,12.2,-37.8707,145.1036,1060000,,,
Ashwood,12.2,-37.8637,145.1024,1529500,,,
Ashwood,12.2,-37.8696,145.0962,600000,,,
Ashwood,12.2,-37.8702,145.1042,535000,,,
Ashwood,12.2,-37.8671,145.1117,785000,,,
Ashwood,12.2,-37.8629,145.1097,1240000,,,
Ashwood,12.2,-37.8709,145.102,700000,,,
Ashwood,12.2,-37.8669,145.1106,1350000,,,
Ashwood,12.2,-37.8683,145.1082,1110000,,,
Ashwood,12.2,-37.858,145.1038,1305000,,,
Ashwood,12.2,-37.87,145.1103,855000,,,
Ashwood,12.2,-37.8655,145.1096,900500,,,
Ashwood,12.2,-37.8614,145.1098,1200000,,,
Ashwood,12.2,-37.8723,145.1089,830000,,,
Avondale Heights,10.5,-37.7677,144.8674,850000,,,
Avondale Heights,10.5,-37.7634,144.8611,750000,,,
Avondale Heights,10.5,-37.77,144.8572,851000,,,
Avondale Heights,10.5,-37.7706,144.8629,848000,,,
Avondale Heights,10.5,-37.7676,144.859,806000,,,
Avondale Heights,10.5,-37.7654,144.8655,1155000,,,
Avondale Heights,10.5,-37.7593,144.871,670000,,,
Avondale Heights,10.5,-37.7545,144.8736,1200000,,,
Avondale Heights,10.5,-37.7605,144.8581,636000,,,
Avondale Heights,10.5,-37.7591,144.8542,680000,,,
Avondale Heights,10.5,-37.7537,144.8729,1160000,,,
Avondale Heights,10.5,-37.7721,144.8576,750000,,,
Avondale Heights,10.5,-37.7632,144.8622,627500,,,
Avondale Heights,10.5,-37.7519,144.8534,880000,,,
Avondale Heights,10.5,-37.7524,144.8714,950000,,,
Avondale Heights,10.5,-37.7532,144.8766,1600000,,,
Avondale Heights,10.5,-37.7623,144.8613,585000,,,
Avondale Heights,10.5,-37.7627,144.857,650000,,,
Avondale Heights,10.5,-37.752,144.854,725000,,,
Avondale Heights,10.5,-37.7644,144.8657,665000,,,
Avondale Heights,10.5,-37.7664,144.8583,560500,,,
Avondale Heights,10.5,-37.758,144.86,615000,,,
Avondale Heights,10.5,-37.7681,144.8592,845000,,,
Avondale Heights,10.5,-37.7686,144.8576,585000,,,
Avondale Heights,10.5,-37.7697,144.8657,440000,,,
Avondale Heights,10.5,-37.7522,144.8518,850000,,,
Avondale Heights,10.5,-37.7639,144.8615,850000,,,
Avondale Heights,10.5,-37.7691,144.8575,705000,,,
Avondale Heights,10.5,-37.7609,144.8639,1100000,,,
Avondale Heights,10.5,-37.7642,144.8603,892500,,,
Avondale Heights,10.5,-37.771,144.8586,695000,,,
Avondale Heights,10.5,-37.756,144.8641,522500,,,
Avondale Heights,10.5,-37.7649,144.8633,680000,,,
Avondale Heights,10.5,-37.7507,144.8576,500000,,,
Avondale Heights,10.5,-37.7592,144.8681,550000,,,
Avondale Heights,10.5,-37.766,144.8596,730000,,,
Avondale Heights,10.5,-37.765,144.8578,875000,,,
Avondale Heights,10.5,-37.751,144.8571,850000,,,
Avondale Heights,10.5,-37.7568,144.8572,635000,,,
Avondale Heights,10.5,-37.7573,144.8534,762000,,,
Avondale Heights,10.5,-37.7608,144.863,411000,,,
Avondale Heights,10.5,-37.7513,144.859,790000,,,
Avondale Heights,10.5,-37.7563,144.8601,605000,,,
Avondale Heights,10.5,-37.7607,144.8581,805000,,,
Avondale Heights,10.5,-37.757,144.8566,890000,,,
Avondale Heights,10.5,-37.7644,144.8575,795000,,,
Avondale Heights,10.5,-37.7584,144.8568,634000,,,
Avondale Heights,10.5,-37.7567,144.8572,642000,,,
Avondale Heights,10.5,-37.7546,144.8585,863000,,,
Avondale Heights,10.5,-37.7546,144.857,740000,,,
Balaclava,6.6,-37.8668,144.9928,1819000,,,
Balaclava,6.6,-37.8731,144.9958,410000,,,
Balaclava,6.6,-37.8733,144.997,280000,,,
Balaclava,6.6,-37.8723,144.9961,1015000,,,
Balaclava,6.6,-37.8725,144.9952,502500,,,
Balaclava,6.6,-37.8742,144.9972,520000,,,
Balaclava,6.6,-37.8726,144.9962,442000,,,
Balaclava,6.6,-37.8663,144.9948,1193000,,,
Balaclava,6.6,-37.8678,144.9966,416000,,,
Balaclava,6.6,-37.8691,144.9974,820000,,,
Balaclava,6.6,-37.8667,144.9917,474000,,,
Balaclava,6.6,-37.874,144.9933,981000,,,
Balaclava,6.6,-37.872,144.9909,1690000,,,
Balaclava,6.6,-37.8727,144.9969,540000,,,
Balaclava,6.6,-37.8696,144.9925,1080000,,,
Balaclava,6.6,-37.873,144.9907,500000,,,
Balaclava,6.6,-37.8739,144.9929,497500,,,
Balwyn,9.7,-37.8094,145.0807,2100000,,,
Balwyn,9.7,-37.811,145.0958,1800000,,,
Balwyn,9.7,-37.8128,145.0975,1255000,,,
Balwyn,9.7,-37.8161,145.0812,1070000,,,
Balwyn,9.7,-37.8028,145.0768,2570000,,,
Balwyn,9.7,-37.8147,145.0748,2400000,,,
Balwyn,9.7,-37.8085,145.0764,2200000,,,
